1	But there's this secret between us, and we can never be the same until it is cleared.	Però hi ha aquest secret entre nosaltres, i mai no podrem ser iguals fins que no s'hagi aclarit.	Però hi ha aquest secret entre nosaltres, i mai no podrem ser el mateix fins que no s'hagi aclarit.	Error semàntic de context (the same > ?iguals > el mateix). Postedició mínima.
2	Have seen the face again at the window.	He vist la cara de nou a la finestra.	He vist la cara de nou a la finestra.	Correcte.
3	How long is it since your wife asked you for a hundred pounds?	Quant de temps és des que la teva dona li vau demanar cent lliures?	Quant de temps fa que la vostra dona us demanà cent lliures?	Expressió temps. Error sintàctic (Intercanvi Subj./CI). Postedició moderada.
4	As we looked, we saw a dark blur moving across the blind.	Com vam mirar, vam veure un borrós fosc que es movia per la cega.	Mentre miràvem, vam veure una ombra borrosa que es movia per la cortina.	CCTemps (as > ?com > mentre). Substantivació (blur-borrós). Traducció literal (blind > ?cega >cortina). Postedició moderada.
5	It has been a standing jest in the family that nothing could ever wake me during the night.	Ha estat una broma en la família que res no em podria despertar durant la nit.	Ha estat una broma constant en la família que res no em podria despertar durant la nit.	Pèrdua d’èmfasi (standing jest). Postedició mínima.
6	It is often so in such matches, and little Lucy is darker far than ever her father was.	Sovint és així en aquests jocs, i la petita Lucy està més fosca que mai el seu pare.	Sovint és així en aquestes unions, i la petita Lucy és més fosca que mai ho fou el seu pare.	Polisèmia (matches > ?jocs > unions/aparellaments). Expressió complicada amb referència a persona. Postedició moderada.
7	Having no success, she goes again next morning, and her husband meets her, as he has told us, as she comes out.	Sense èxit, ella torna a anar el dia següent, i el seu marit es troba amb ella, com ens ha dit, quan surt.	Sense èxit, ella hi torna a anar el matí següent i el seu marit es troba amb ella, com ens ha dit, quan surt.	Pronom feble (anar-hi) (CCLloc). Postedició mínima.
8	Then suddenly, with a fierce gesture of his closed hand, like one who throws reserve to the winds, he began.	Tot d'una, de cop i volta, amb un gest ferotge de la mà tancada, com qui va reservar als vents, va començar.	Tot d'una, amb un gest ferotge amb la mà tancada, com qui agafa el bou per les banyes, va començar.	Expansió en expressions temporals, amb redundància semàntica. Error de preposició (?de > amb). Frase feta. Postedició elevada.
9	Three days later, however, the nurse and child only just escaped from the back door as you rushed in at the front one.	Tres dies més tard, tanmateix, la infermera i el nen només van escapar de la porta del darrere a mesura que avançava a la primera part.	Tres dies més tard, tanmateix, la infermera i l’infant s’escapaven per la porta del darrere mentre vós entràveu corrents per la del davant.	Canvi semàntic en adverbis (only just > ?només). Pèrdua de simultaneïtat en les accions (as > ?a mesura que > mentre). Error de preposició (?de > per). Traducció literal sense sentit (front one > ?la primera part). Postedició elevada.
10	Then, thinking that I was still asleep, she slipped noiselessly from the room, and an instant later I heard a sharp creaking which could only come from the hinges of the front door.	Aleshores, pensant que encara estava dormit, ella es va escapar sense sonar des de l'habitació, i un instant més tard vaig sentir un creuat agut que només podia venir de les frontisses de la porta principal. 	Aleshores, pensant que encara estava adormit, ella es va escapar silenciosament de l'habitació, i un instant més tard vaig sentir un grinyol agut que només podia venir de les frontisses de la porta principal. 	Error lèxic (asleep > *dormit > adormit). Manca d’exactitud (noislessly > ?sense sonar). Error lèxic (creaking > ?creuat > grinyol). Postedició moderada.
11	I really think that I should have fainted if I had not gone out.	Realment crec que hauria d'haver esvaït si no hagués sortit.	Realment crec que m’hauria esvaït si no hagués sortit.	Error sintàctic a causa de pronom feble (Subject > Subjecte + CD). Postedició poca.
12	When we married, my wife made over all her property to me—rather against my will, for I saw how awkward it would be if my business affairs went wrong.	Quan ens vam casar, la meva dona va fer tota la seva propietat per a mi, més aviat contra la meva voluntat, ja que vaig veure que tan incòmoda seria si els meus assumptes comercials anessin malament.	Quan ens vam casar, la meva dona em transferí tota la seva propietat, més aviat contra la meva voluntat, ja que vaig veure que incòmode seria si els meus assumptes comercials anessin malament.	Phrasal verb. Pronom feble (em transferí, em deixà). Construcció no genuïna (?que tan...). Gènere (?incòmoda). Postedició elevada.
13	Well, I think that you are in the right.	Bé, crec que estàs a la dreta.	Bé, crec que teniu raó.	Traducció literal (to be in the right > *estar a la dreta). Postedició poca.
14	But if I am not mistaken I hear him upon the stair, so we shall have something more interesting than his pipe to study.	Però si no em trobo equivocat, el sento sobre l'escalinata, així que tindrem una mica més interessant que el seu tub per estudiar.	Però si no estic equivocat, sento que ha pujat per l’escala, així doncs, tindrem alguna cosa més interessant que la seva pipa per estudiar.	Preposició (upon > sobre). Lèxic (stair > ?escalinata; pipe > ?tub). Pèrdua de CD (something). Postedició moderada.
15	He held it up and tapped on it with his long, thin fore-finger, as a professor might who was lecturing on a bone.	Ell es va aixecar i es va tocar amb el dit llarg i fi, com un professor que parlava sobre un os.	Ell la sostenia i la va tocar amb el dit índex llarg i prim, com faria un professor que parlés d’un os.	Canvi de CD per pronom reflexiu. Temps verbal (parlava/parlés). Preposició (?sobre/de). Postedició moderada.
16	My friend threw out the information in a very offhand way, but I saw that he cocked his eye at me to see if I had followed his reasoning.	El meu amic va llançar la informació d'una manera molt despistada, però vaig veure que ell em va cridar l'atenció per veure si havia seguit el seu raonament.	El meu amic va deixar anar la informació d'una manera molt despreocupada, però vaig veure que ell em mirava de biaix per veure si havia seguit el seu raonament.	Frase feta (to cock one’s eye at someone). Postedició mínima.
17	Of course, legally, we are putting ourselves hopelessly in the wrong; but I think that it is worth it.	Per descomptat, legalment, ens estem posant irremeiablement equivocats; però crec que val la pena.	Per descomptat, legalment, ens estem posant irremeiablement en una equivocació; però crec que val la pena.	Locució locativa/manera (in the wrong). Postedició poca.
18	And this not so much for the sake of his reputation—for, indeed, it was when he was at his wits' end that his energy and his versatility were most admirable—but because where he failed it happened too often that no one else succeeded, and that the tale was left forever without a conclusion.	I això no tant pel que fa a la seva reputació -perquè, de fet, va ser quan va quedar al capdavall que la seva energia i la seva versatilitat eren més admirables-, sinó perquè on va fracassar va passar massa sovint que ningú més va aconseguir, i que la història es va deixar per sempre sense una conclusió.	I això no tant pel que fa a la seva reputació -perquè, de fet, va ser quan estava desesperat que la seva energia i la seva versatilitat foren més admirables-, sinó perquè on ell fracassava, passava massa sovint que ningú més ho aconseguia, i que la història es va deixar per sempre sense una conclusió.	Frase feta (...wits’ end). Correlació temps verbals. Postedició moderada.
19	I felt that I should have no peace until I knew, and yet I shrank from asking her again after once she had told me what was false.	Vaig sentir que no tindria pau fins que ho conegués, però no em vaig tornar a preguntar una vegada que m'havia dit que era fals.	Vaig sentir que no tindria pau fins que no ho sabés, però em vaig desdir de tornar-li a preguntar després que m'havia dit una falsedat.	Omissió (shrank). Transformació oració de relatiu (what was false). Postedició moderada.
20	You know that I would not have a secret from you if it were not for your own sake.	Ja saps que no tindria un secret de tu si no fos per tu mateix 	Ja saps que no tindria un secret per a tu si no fos pel teu bé. 	Preposició (*de/per a). Adaptació locució. Postedició poca.
21	Save for the occasional use of cocaine, he had no vices, and he only turned to the drug as a protest against the monotony of existence when cases were scanty and the papers uninteresting.	A excepció de l'ús ocasional de la cocaïna, no tenia cap vicissitud, i només es va dirigir a la droga com una protesta contra la monotonia de l'existència quan els casos eren escasses i els documents no interessaven.	A excepció de l'ús ocasional de la cocaïna, no tenia cap vici, i només recorria a la droga com a protesta contra la monotonia de l'existència quan els casos eren escassos i els documents no eren interessants.	Lèxic (vices > *vicissituds > vicis). Concordança de gènere (casos *escasses). Postedició poca.
22	My mind was instantly filled with suspicion.	La meva ment estava plena de sospita instantàniament.	La meva ment s’omplí de sospita instantàniament.	Pèrdua de canvi d’estat en l’acció. Postedició poca.
23	I stood at the door for a few minutes, and now I am quite myself again.	Em vaig quedar a la porta uns minuts i ara sóc bastant més.	M’he quedat dret a la porta uns minuts i ara torno a ser bastant jo mateix.	Segona coordinada incompleta. Pèrdua de contingut (stood). Postedició moderada.
24	I was badly in need of a case, and this looks, from the man's impatience, as if it were of importance.	No tenia necessitat d'un cas, i això es veia, des de la impaciència de l'home, com si fos d'importància.	Tenia molta necessitat d'un cas, i això sembla, per la impaciència de l'home, que era d'importància.	Negació >> canvi semàntic (contrari) (I was badly in need of...). Postedició moderada.
25	My husband died at Atlanta.	El meu marit va morir a Atlanta.	El meu marit va morir a Atlanta.	Correcte.
26	But we had not a very long time to wait for that.	Però no vam tenir molt de temps a esperar.	Però no vam haver d’esperar gaire temps.	Error a causa de l’ordre no natural dels elements del segment original. Postedició moderada.
27	My wife seemed to be as upset as myself, and I could see from the little questioning glances which she kept shooting at me that she understood that I disbelieved her statement, and that she was at her wits' end what to do.	La meva dona semblava estar tan molesta com jo, i vaig poder veure des de les petites mirades d'interrogació que ella em va disparar i va comprendre que no creia la seva declaració i que estava al capdavall de què fer.	La meva dona semblava estar tan molesta com jo, i vaig poder veure, per les petites mirades d'interrogació que ella em dirigia, que havia comprès que no creia la seva declaració i que ja no sabia què més fer.	Pèrdua de continuïtat (kept shooting > ?em va disparar). Concatenació de subordinades. Frase feta. Postedició moderada.
28	When new facts come to our knowledge which cannot be covered by it, it will be time enough to reconsider it.	Quan nous fets arriben al nostre coneixement que no poden cobrir-lo, serà el temps suficient per reconsiderar-lo.	Quan el nostre coneixement no pot cobrir els nous fets que li arriben, és temps de reconsiderar-lo.	Canvi de CAgent per CD >> canvi semàntic. Postedició elevada.
29	Our visitor again passed his hand over his forehead, as if he found it bitterly hard.	El nostre visitant va tornar a passar la mà sobre el front, com si el trobés amargament.	El nostre visitant es va tornar a passar la mà per sobre el front, com si el trobés amargament dur.	Pronom reflexiu (es). Postedició poca.
30	An instant later our door opened, and a tall young man entered the room.	Un instant més tard, la nostra porta es va obrir, i un jove alt va entrar a la sala. 	Un instant més tard, la nostra porta es va obrir, i un jove alt va entrar a la sala. 	Correcte.
31	Holmes and I had listened with the utmost interest to this extraordinary statement, which had been delivered in the jerky, broken fashion of a man who is under the influence of extreme emotions.	Holmes i jo havíem escoltat amb el màxim interès aquesta extraordinària afirmació, que havia estat lliurada en la forma trencadissa i trencada d'un home que està sota la influència d'emocions extremes.	Holmes i jo havíem escoltat amb el màxim interès aquesta extraordinària exposició, que havia estat lliurada de la forma nuada i trencada d'un home que es troba sota la influència d'emocions extremes.	Adjectiu (jerky > *trencadissa). Postedició moderada.
32	Well, he must have been disturbed in his mind to leave a pipe behind him which he evidently values highly.	Bé, hauria d'haver estat molestat en la seva ment per deixar una canonada darrere d'ell que evidentment valora molt.	Bé, hauria d'haver estat amoïnat per deixar-se una pipa que evidentment valora molt.	Error expressions (disturbed in his mind > ?molestat en la seva ment > amoïnat; to leave behind > ?deixar darrere d’ell). Lèxic (pipe > ?canonada > pipa). Postedició moderada.
33	There was such earnestness, such despair, in her manner that her words arrested me, and I stood irresolute before the door.	Hi havia tanta serietat, tal desesperació, de la seva manera que les seves paraules em van arrestar i em vaig quedar sense ressaltar davant la porta.	Hi havia tanta serietat, tanta desesperació en el seu fer, que les seves paraules em van aturar i em vaig quedar sense fer res davant la porta.	Preposició (?de/en) >> canvi semàntic. Lèxic (irressolute > *sense ressaltar > sense fer res). Postedició elevada.
34	This sickened her of America, and she came back to live with a maiden aunt at Pinner, in Middlesex.	Això la va deixar malament d'Amèrica, i va tornar a viure amb una tia donzella a Pinner, a Middlesex.	Això li va fer avorrir Amèrica, i va tornar a viure amb una tia soltera a Pinner, Middlesex.	Expressió (to sick someone of something). Lèxic (maiden > ?donzella). Postedició moderada.
35	Annoyed at the churlish rebuff, I turned my back and walked home.	Embolicat a la rebuig churlish, vaig girar l'esquena i vaig caminar a casa.	Enfadat pel rebuig groller, em vaig girar d’esquena i vaig caminar cap a casa.	Subordinada inicial. Lèxic (churlish). Postedició elevada
36	Until you tell me who it is that has been living in that cottage, and who it is to whom you have given that photograph, there can never be any confidence between us, said I, and breaking away from her, I left the house.	Fins que no em diguis que és qui ha estat vivint en aquesta casa de camp, i qui és a qui ha donat aquesta fotografia, mai no hi ha cap confiança entre nosaltres, em va dir, i allunyant-se d'ella, em vaig anar la casa.	Fins que no em diguis qui ha estat vivint en aquesta casa de camp, i a qui has donat aquesta fotografia, mai no hi pot haver cap confiança entre nosaltres, vaig dir, i allunyant-me d'ella vaig sortir de la casa.	Correlació temps verbals. Omissió contingut (there can never be). Canvi de Subjecte per CD. Final erroni. Postedició elevada.
37	It was a strange puzzle, and yet I knew that my mind could never know ease again until I had solved it.	Va ser un trencaclosques estrany i, tanmateix, vaig saber que la meva ment mai no podia tornar a saber-la fins que la resolgués.	Va ser un trencaclosques estrany i, tanmateix, vaig saber que la meva ment mai no podria tornar a la tranquil·litat fins que el resolgués.	Expressió (to know ease). Postedició poca.
38	You appear, however, to have been disagreeably impressed by it.	No obstant això, sembla que ha estat impressionat desagradablement per això.	No obstant això, sembla que heu estat impressionat desagradablement per això.	Correcte.
39	I will tell you the meaning of it, cried the lady, sweeping into the room with a proud, set face.	Et diré el significat d'això, va cridar la senyora, arrossegant-se a la sala amb una cara orgullosa i confusa.	Us diré el significat d'això, va cridar la senyora, entrant decididament a la sala amb cara orgullosa i resolta.	Lèxic (set > *confusa). Postedició poca.
40	If you have reason to believe that it is inhabited, do not force your way in, but send a wire to my friend and me.	Si tens motius per creure que està habitat, no t'obliguis, però envia un cable al meu amic i jo. 	Si teniu motius per creure que està habitada, no forceu l’entrada; envieu-nos un telegrama al meu amic i a mi. 	Frase feta (force your way in > ?no t’obliguis > no forceu l’entrada). Postedició moderada.
41	I determined to say nothing about the former to my wife, for she is a nervous, highly strung woman, and I had no wish that she would share the unpleasant impression which had been produced upon myself.	Vaig decidir no dir res sobre el primer a la meva dona, ja que ella és una dona nerviosa i molt encallada, i no desitjava que compartís la impressió desagradable que m'havia produït.	Vaig decidir no dir res sobre el primer a la meva dona, ja que ella és una dona nerviosa i molt afectada, i no desitjava que compartís la impressió desagradable que m'havia produït.	Lèxic (strung > ?encallada). Postedició poca.
42	We had an inn and two houses a little above us, and a single cottage at the other side of the field which faces us, and except those there were no houses until you got half way to the station.	Vam tenir una posada i dues cases una mica per damunt de nosaltres, i una sola casa rural a l'altre costat del camp que ens enfrontà i, excepte aquells, no hi havia cases fins que es va arribar a la meitat de l'estació.	Teníem una fonda i dues cases una mica més amunt de nosaltres, i una sola casa rural a l'altre costat del camp del davant, i excepte aquestes, no hi havia cases fins que no s’arribava a la meitat del camí de l'estació.	Temps verbal (we had an inn > *vam tenir... > teníem; you got > *es va arribar). Expressions locatives. Postedició elevada.
43	She followed me, however, before I could close the door.	No obstant això, ella em va seguir abans de tancar la porta.	No obstant això, ella em va seguir abans de tancar la porta.	Correcte.
44	As I did so I happened to glance out of one of the upper windows, and saw the maid with whom I had just been speaking running across the field in the direction of the cottage.	Com ho vaig fer, vaig passar una ullada a una de les finestres més altes, i vaig veure la criada amb la qual acabava de parlar corrent a través del camp en direcció a la casa de camp.	Mentre ho feia, vaig poder veure, per una de les finestres de dalt, la criada amb la qual acabava de parlar, corrent a través del camp en direcció a la casa de camp.	Adverbi temps (as > ?com > mentre). Pèrdua semàntica de manca d’intencionalitat (happened to glance > ?vaig passar una ullada > vaig poder veure). Preposició (?a/per) >> canvi d’ubicació del subjecte. Postedició elevada.
45	She promises him then not to go there again, but two days afterwards the hope of getting rid of those dreadful neighbors was too strong for her, and she made another attempt, taking down with her the photograph which had probably been demanded from her.	Ella li promet que no torni a anar-hi, però dos dies més tard, l'esperança de desfer-se d'aquells terribles veïns era massa forta per a ella, i va fer un altre intent, amb la fotografia que probablement s'havia exigit.	Llavors ella li promet que no tornarà a anar-hi, però dos dies més tard, l'esperança de desfer-se d'aquells terribles veïns era massa forta per a ella, i va fer un altre intent, amb la fotografia que probablement se li havia demanat.	Temps verbal (*torni > tornarà). Sintaxi de la subordinada >> canvi semàntic (*s’havia exigit > se li havia demanat). Postedició moderada.
46	But you saw me go, and that was the beginning of my troubles.	Però em vas veure, i això va ser el començament dels meus problemes.	Però em vas veure marxar, i això va ser el començament dels meus problemes.	Omissió de verb important (...you saw me go > ?em vas veure). Postedició mínima.
47	And if it is still empty?	I si encara està buit?	I si encara està buit?	Correcte.
48	For two hours we rambled about together, in silence for the most part, as befits two men who know each other intimately.	Durant dues hores ens passejàvem junts, en silenci en la seva major part, com correspon a dos homes que es coneixen íntimament.	Durant dues hores ens passejàrem junts, en silenci en la seva major part, com correspon a dos homes que es coneixen íntimament.	Temps verbal. Postedició mínima.
49	I am afraid that this is a bad business, Watson, said my companion, as he returned after accompanying Mr. Grant Munro to the door.	Em temo que aquest és un mal negoci, Watson, va dir el meu company, quan va tornar després d'acompanyar al senyor Grant Munro a la porta.	Em temo que aquest és un mal negoci, Watson, va dir el meu company, quan va tornar després d'acompanyar el senyor Grant Munro a la porta.	Transitivitat (acompanyar). Postedició mínima.
50	She waits until her husband is asleep, and then she rushes down to endeavor to persuade them to leave her in peace.	Ella espera fins que el seu marit estigui adormit, i després es precipita per intentar persuadir-los que la deixin en pau.	Ella espera fins que el seu marit estigui adormit, i després es precipita per intentar persuadir-los que la deixin en pau.	Correcte.
51	During that time my wife and I have loved each other as fondly and lived as happily as any two that ever were joined.	Durant aquest temps, la meva dona i jo ens hem estimat amb afecte i vivim tan feliços com els dos que mai s'havien unit.	Durant aquest temps la meva dona i jo ens hem estimat tan profundament i viscut tan feliçment com qualsevol parella que mai s’hagi unit.	Comparativa començada amb «as... as...». Temps verbal. Postedició moderada.
52	Some day, perhaps, but not just at present, Jack.	Alguns dia, potser, però no només en l'actualitat, Jack.	Algun dia, potser, però ara per ara no, Jack.	Adversativa començada amb «but not just...». Expressió temporal de context (at present > ?en l’actualitat > ara). Postedició moderada.
53	I went as far as the Crystal Palace, spent an hour in the grounds, and was back in Norbury by one o'clock.	Vaig arribar tan lluny com el Crystal Palace, passava una hora al recinte, i tornava a Norbury per una a la una.	Vaig arribar tan lluny com el Crystal Palace, vaig passar una hora al recinte, i tornava a ser a Norbury cap a la una en punt.	Última coordinada: expressió locativa (was back in Norbury), expressió temporal (by one o’clock). Correlació temps verbals. Postedició moderada.
54	Suddenly this morning it occurred to me that you were the man to advise me, so I have hurried to you now, and I place myself unreservedly in your hands.	De sobte, aquest matí em va donar a conèixer que era l'home que m'aconsellava, així que ara m'he apressat i em poso sense reserves a les teves mans.	De sobte, aquest matí se m’ha ocorregut que vós havíeu de ser l’home que m’aconsellés, així que ara m'he apressat i em poso sense reserves a les vostres mans.	Expressió (to be the one to do something). Correlació temps verbals. Lèxic (ocurred > *em va donar a conèixer > se m’ha ocorregut). Postedició moderada.
55	We shall be with you within an hour of receiving it, and we shall then very soon get to the bottom of the business.	Estarem amb vostè dins d'una hora després de rebre'l, i aviat arribarem al fons de l'empresa.	Serem amb vós al cap d'una hora després de rebre'l, i aviat arribarem al fons de l'assumpte.	Expressió temporal. Lèxic de context (business > *empresa > assumpte). Postedició moderada.
56	Sherlock Holmes was a man who seldom took exercise for exercise's sake.	Sherlock Holmes era un home que rarament prenia l'exercici pel benestar de l'exercici.	Sherlock Holmes era un home que rarament feia exercici pel bé de l'exercici.	Expressió feta. Postedició mínima.
57	In the cottage lay the secret which was casting a shadow over my life.	A la caseta hi havia el secret que estava omplint la meva vida.	A la caseta hi havia el secret que omplia d’ombra la meva vida.	Omissió de mot important (shadows) >> canvi semàntic crític. Postedició poca.
58	If I had been less cautious I might have been more wise, but I was half crazy with fear that you should learn the truth.	Si hagués estat menys cautelós, podria haver estat més prudent, però era una mica boig amb la por de saber la veritat.	Si hagués estat menys cautelosa, podria haver estat més prudent, però tenia molta por que tu sabessis la veritat.	Adversativa amb locució (to be half crazy with...) Postedició moderada.
59	Her husband developed some hateful qualities; or shall we say that he contracted some loathsome disease, and became a leper or an imbecile?	El seu marit va desenvolupar qualitats odioses; o hem de dir que va contreure alguna malaltia aversiva i es va convertir en un leproso o imbécil?	El seu marit va desenvolupar qualitats odioses; o hem de dir que va contreure alguna malaltia aversiva i es va convertir en un leprós o un imbècil?	Omissió de determinant indefinit (some). Lèxic castellà (leproso, imbécil). Postedició mínima.
60	Mr. Grant Munro pushed impatiently forward, however, and we stumbled after him as best we could.	Tanmateix, el senyor Grant Munro va avançar amb impaciència i ens vam trobar amb el millor possible. 	Tanmateix, el senyor Grant Munro va avançar amb impaciència i vam anar a trompicons darrere d’ell el millor possible. 	Segona copulativa >> canvi semàntic (stumbled after him > *ens vam trobar). Postedició elevada.
61	It was a cosey, well-furnished apartment, with two candles burning upon the table and two upon the mantelpiece.	Era un apartament ben equipat, amb dues espelmes cremades sobre la taula i dues sobre la llar de foc.	Era un apartament ben equipat, amb dues espelmes enceses sobre la taula i dues sobre la llar de foc.	Lèxic (two candles burning > dues espelmes *cremades) >> canvi semàntic. Postedició poca.
62	Why do you look at me like that, Jack?	Per què em veus així, Jack?	Per què em mires així, Jack?	Verb (look > *veure > mirar) >> canvi semàntic. Postedició mínima.
63	And now, since last Monday, there has suddenly sprung up a barrier between us, and I find that there is something in her life and in her thought of which I know as little as if she were the woman who brushes by me in the street.	I ara, des del dilluns passat, de sobte, hi ha hagut una barrera entre nosaltres, i trobo que hi ha alguna cosa a la seva vida i, en el seu pensament, sé tan poc com si fos la dona que em raspallava al carrer .	I ara, des del dilluns passat, de sobte, hi ha hagut una barrera entre nosaltres, i trobo que hi ha alguna cosa a la seva vida i en el seu pensament, dels quals sé tan poc com de la dona que em passa fregant pel carrer.	Pronom relatiu en oració subordinada >> manca de continuïtat. Postedició moderada.
64	My dear Mr. Grant Munro— began Holmes.	El meu estimat Sr Grant Munro- va començar Holmes.	Estimat Sr Grant Munro- va començar Holmes.	Expressió. Postedició mínima.
65	I burst out laughing, out of sympathy with her merriment; but Grant Munro stood staring, with his hand clutching his throat.	Vaig esclatar rient, amb simpatia amb la seva alegria; però Grant Munro es va quedar mirant, amb la mà agafant la gola.	Vaig esclatar a riure, en simpatia amb la seva alegria; però Grant Munro es va quedar mirant, amb la mà agafant-se la gola.	Perífrasi verbal (*esclatar rient > esclatar a riure). Pronom reflexiu (agafant-se). Postedició poca.
66	Well, I told you just now that there is a cottage not far from our house.	Bé, us ho vaig dir ara mateix que hi ha una casa de camp no gaire lluny de casa nostra.	Bé, us he dit ara mateix que hi ha una casa de camp no gaire lluny de casa nostra.	Temps verbal. Postedició mínima.
67	They had one child, but the yellow fever broke out badly in the place, and both husband and child died of it.	Tenien un fill, però la febre groga esclatà malament al lloc, i el marit i el fill van morir d'ell.	Tenien un infant, però la febre groga esclatà fatalment al lloc, i el marit i l’infant van morir.	Lèxic (badly > *malament). Referència díctica. Postedició poca.
68	On the third day, however, I had ample evidence that her solemn promise was not enough to hold her back from this secret influence which drew her away from her husband and her duty.	El tercer dia, però, tenia àmplia evidència que la seva solemne promesa no era suficient per retirar-la d'aquesta influència secreta que la va apartar del seu marit i del seu deure.	El tercer dia, però, tenia àmplia evidència que la seva solemne promesa no era suficient per retirar-la d'aquesta influència secreta que l’havia apartat del seu marit i del seu deure.	Correlació temps verbals. Postedició mínima.
