1	But there's this secret between us, and we can never be the same until it is cleared.	Però hi ha un secret entre nosaltres, i mai no podrem ser el mateix fins que no s'hagi aclarit.	Però hi ha aquest secret entre nosaltres, i mai no podrem ser el mateix fins que no s'hagi aclarit.	Correcte. Determinant (*un/aquest). Postedició mínima.
69	The facts are these, Mr. Holmes, said he.	- els fets són aquests, senyor Holmes - va dir -.	Els fets són aquests, senyor Holmes - va dir.	Correcte. Pèrdua d’informació de persona.
70	As I entered the house the maid ran into the hall with a startled face.	Quan vaig entrar a la casa, la minyona va córrer cap al vestíbul amb cara de sorpresa.	Quan vaig entrar a la casa, la minyona va córrer cap al vestíbul amb cara de sorpresa.	Correcte.
71	It was our misfortune that our only child took after his people rather than mine.	Va ser la nostra desgràcia que el nostre únic fill s'assemblés més al seu poble que no pas al meu.	Va ser la nostra desgràcia que el nostre únic fill s'assemblés més al seu poble que no pas al meu.	Correcte.
72	Well, I should put the original cost of the pipe at seven and sixpence.	- bé, hauria de posar el cost original de la pipa a les set i sis penics.	Bé, hauria de posar el cost original de la pipa a set i sis penics.	Expressió (seven and sixpence). Postedició mínima.
73	Holmes, with a laugh, passed his hand behind the child's ear, a mask peeled off from her countenance, and there was a little coal black negress, with all her white teeth flashing in amusement at our amazed faces.	Holmes, amb una rialla, va passar la mà per darrere l'orella de la nena, una màscara que s'havia desprès del seu semblant, i hi havia una petita negror negra com el carbó, amb totes les seves dents blanques resplendint de diversió davant els nostres rostres sorpresos.	Holmes, amb una rialla, va passar la mà per darrere l'orella de la nena; una màscara es desprengué del seu semblant, i allà hi havia una nena petita, negra com el carbó, amb totes les seves dents blanques resplendint divertidament davant els nostres rostres sorpresos.	Pèrdua d’informació de persona. Juxtaposicions. Sintagma (a little coal black negress). Postedició moderada.
74	I should like to think over the matter a little now.	Ara m'agradaria rumiar una mica.	M'agradaria reflexionar sobre la qüestió ara una mica.	Correcte. Pèrdua d’informació. Postedició mínima
75	The indications here, however, are neither very marked nor very important.	Les indicacions aquí, però, no són ni gaire marcades ni gaire importants.	Les indicacions aquí, però, no són ni gaire marcades ni gaire importants.	Correcte.
76	Yes, of course I should have knocked.	Sí, és clar que hauria d'haver trucat.	Sí, és clar que hauria d'haver trucat.	Correcte.
77	It was of a livid chalky white, and with something set and rigid about it which was shockingly unnatural.	Era d'un blanc lívid com el guix, i tenia alguna cosa que no era natural.	Era d’un blanc lívid com el guix, i tenia alguna cosa que no era natural.	Correcte. Pèrdua d’informació (set and rigid, shockingly). Postedició mínima.
78	How can you tell me what you know is false?	- ¿com pot dir-me que el que sap és fals?	Com em pots dir una cosa que saps que és falsa?	Expressió. Postedició poca.
79	I have seen his death certificate.	He vist el seu certificat de defunció.	He vist el seu certificat de defunció.	Correcte.
80	I don't want to argue about that.	No vull discutir sobre això.	No vull discutir sobre això.	Correcte.
81	It's horrible to have to do it.	És horrible haver-ho de fer.	És horrible haver-ho de fer.	Correcte.
82	Though I knew the danger, I determined to have the child over, if it were but for a few weeks.	Tot i que coneixia el perill, vaig decidir tenir el nen a sobre, si no fos per unes quantes setmanes.	Tot i que coneixia el perill, vaig decidir fer venir la criatura, si era només per unes setmanes.	Phrasal verb (have someone over). Subordinada condicional. Postedició poca.
83	I should have put him at about thirty, though he was really some years older.	L'hauria d'haver posat als trenta anys, tot i que en realitat era uns quants anys més gran.	Li hauria posat trenta anys, tot i que en realitat tenia uns quants anys més.	Temps verbal. Expressió. Postedició mínima.
84	I see that you have only just moved in, so I thought that if I could be of any help to you in any—	- ja veig que s'acaba d'instal·lar, o sigui que he pensat que si li podia ajudar en res...	Ja veig que us acabeu d'instal·lar, o sigui que he pensat que si us podia ajudar en res...	Transitivitat (*CI/CD). Postedició mínima.
85	You can see for yourselves that some one is there.	Ja veieu que n'hi ha algun.	Podeu veure per vosaltres mateixos que hi ha algú allà.	Pèrdua d’informació elevada (aspecte, reflexivitat, dixi). Postedició elevada.
86	And you won't tell me what you want it for?	- ¿i no em vol dir per què la vol?	I no em vols dir per a què el vols?	Correcte. Postedició mínima.
87	He has been in the habit of lighting his pipe at lamps and gas-jets.	- té el costum d'encendre la pipa a les llànties i als gas-jets.	Té el costum d’encendre la pipa a les llànties i als sortidors de gas.	Lèxic no traduït (gas-jets). Postedició Mínima.
88	If the cottage is now permanently deserted we may have some difficulty.	Si ara la cabanya està permanentment deserta, potser tindrem alguna dificultat.	Si la caseta està ara permanentment deserta podem tenir algunes dificultats.	Correcte.
89	Still pulling at my sleeve, she led me away from the cottage.	- encara estirant-me la màniga, em va portar lluny de la cabanya.	Encara estirant-me la màniga, em va portar lluny de la cabanya.	Correcte.
90	I am sorry that I broke my promise, Jack, said she; but if you knew all the circumstances I am sure that you would forgive me.	- em sap greu haver trencat la meva promesa, Jack - va dir ella -.	em sap greu haver trencat la meva promesa, Jack -va dir ella -, però si sabessis totes les circumstàncies estic segura que em perdonaries.	Omissió de la segona oració (una adversativa formada per condicional + principal composta). Postedició moderada.
91	As I stood there, imagine my surprise, Mr. Holmes, when the door suddenly opened and my wife walked out.	Mentre era allà, imagini's la meva sorpresa, senyor Holmes, quan la porta es va obrir de sobte i la meva dona va sortir.	Mentre era dret allà, imagineu-vos la meva sorpresa, senyor Holmes, quan la porta es va obrir de sobte i la meva dona va sortir.	Correcte. Pèrdua d’informació.
92	Tell me, said he at last, could you swear that this was a man's face which you saw at the window?	- digueu-me - digué finalment -, podríeu jurar que aquesta era la cara d'un home que vau veure a la finestra?	Digueu-me - digué finalment -, podríeu jurar que la cara que vau veure a la finestra era la d'un home?	Canvi semàntic a la subordinada. Postedició moderada.
93	From every gesture and expression I could see that he was a reserved, self-contained man, with a dash of pride in his nature, more likely to hide his wounds than to expose them.	Per cada gest i cada expressió veia que era un home reservat i independent, amb un rampell d'orgull per la seva naturalesa, més probable que amagués les ferides que no pas que les desemmascarés.	Per cada gest i cada expressió veia que era un home reservat i contingut, amb un rampell d'orgull en la seva naturalesa, amb més probabilitat d’amagar les ferides que no pas d’exposar-les.	Lèxic (self-contained > *independent > contingut, retret, reservat). Construcció comparativa amb subjecte i verb allunyats per juxtaposició. Postedició poca.
94	What on this earth could my wife be doing out on the country road at three in the morning?	Què dimonis podia estar fent la meva dona a la carretera del camp a les tres de la matinada?	Què dimonis podia fer la meva dona a la carretera del camp a les tres de la matinada?	Gramaticalment correcte i amb sentit. Possible lèxic (country road > carretera del camp/pista). Postedició mínima.
95	When I left her in America, she continued, it was only because her health was weak, and the change might have done her harm.	- quan la vaig deixar a Amèrica - va continuar -, va ser només perquè la seva salut era feble, i el canvi li podia haver fet mal.	Quan la vaig deixar a Amèrica - va continuar -, va ser només perquè la seva salut era feble, i el canvi li podia haver fet mal.	Correcte.
96	I was a bit staggered at this, for I had imagined it was simply a new dress or something of the kind that she was after.	- això em va fer trontollar una mica, perquè m'havia imaginat que era simplement un vestit nou o alguna cosa per l'estil que buscava.	Això em va fer trontollar una mica, perquè m'havia imaginat que era simplement un vestit nou o alguna cosa per l'estil, que buscava.	Correcte.
97	The furniture and pictures were of the most common and vulgar description, save in the one chamber at the window of which I had seen the strange face.	Els mobles i els quadres eren de la descripció més corrent i vulgar, tret de l'única cambra a la finestra de la qual havia vist aquella cara estranya.	Els mobles i els quadres eren de la descripció més corrent i vulgar, tret de l'única cambra a la finestra de la qual havia vist aquella cara estranya.	Correcte. Pèrdua d’informació de persona.
98	Not another word did he say of the case until late that night, when he was turning away, with his lighted candle, for his bedroom.	No va dir ni una paraula més del cas fins ben entrada la nit, quan es girava, amb l'espelma encesa, cap a la seva habitació.	No va dir ni una paraula més del cas fins ben entrada la nit, quan es girava, amb l'espelma encesa, cap a la seva habitació.	Correcte.
99	I could not tell if the face were that of a man or a woman.	No sabria dir si la cara era la d'un home o una dona.	No sabria dir si la cara era la d'un home o una dona.	Correcte.
100	You might do it once the other way, but not as a constancy.	Podries fer-ho un cop a l'altra banda, però no com a constància.	Ho podries fer un cop al revés, però no com a constància.	Gramaticalment correcte i amb sentit. Expressió (the other way > al revés/de l’altra manera). Postedició mínima.
101	Next day you had my secret at your mercy, but you nobly refrained from pursuing your advantage.	L'endemà tenies el meu secret a la teva mercè, però et vas abstenir noblement de perseguir el teu avantatge.	L'endemà tenies el meu secret a la teva mercè, però et vas abstenir noblement de perseguir el teu avantatge.	Correcte.
102	Well, last Monday evening I was taking a stroll down that way, when I met an empty van coming up the lane, and saw a pile of carpets and things lying about on the grass-plot beside the porch.	- bé, dilluns passat al vespre anava a fer un tomb per aquell camí, quan vaig trobar una furgoneta buida que pujava pel caminoi, i vaig veure una pila de catifes i coses escampades per l'herba que hi havia al costat del porxo.	Bé, dilluns passat feia un tomb per aquell camí, quan vaig trobar una furgoneta buida que pujava pel caminoi, i vaig veure una pila de catifes i coses escampades per l'herba que hi havia al costat del porxo.	Correcte. Poc genuí (anava a fer).
103	I wish you both to be there as witnesses.	M'agradaria que tots dos fóssiu allà com a testimonis.	M'agradaria que tots dos fóssiu allà com a testimonis.	Correcte.
104	Her name then was Mrs. Hebron.	Aleshores es deia senyora Hebron.	Aleshores es deia senyora Hebron.	Correcte.
105	The cottage had been standing empty this eight months, and it was a pity, for it was a pretty two-storied place, with an old-fashioned porch and honeysuckle about it.	Feia vuit mesos que la cabanya era buida, i era una llàstima, perquè era un lloc bonic de dos pisos, amb un porxo antiquat i un xuclamel al voltant.	Feia vuit mesos que la cabanya era buida, i era una llàstima, perquè era un lloc bonic de dos pisos, amb un porxo antic i xuclamel al voltant.	Gramaticalment correcte. Lèxic (old-fashioned). Comptable/incomptable (xuclamel). Postedició mínima.
106	It happened that my way took me past the cottage, and I stopped for an instant to look at the windows, and to see if I could catch a glimpse of the strange face which had looked out at me on the day before.	Va passar que el meu camí em va portar més enllà de la cabanya, i em vaig aturar un moment per mirar les finestres, i per veure si podia entreveure la cara estranya que m'havia mirat el dia abans.	Va passar que el meu camí em va portar més enllà de la cabanya, i em vaig aturar un moment per mirar les finestres, i per veure si podia entreveure la cara estranya que m'havia mirat el dia abans.	Correcte.
107	I vowed that, come what might, it should be a secret no longer.	Vaig jurar que, vingui el que passi, ja no seria un secret.	Vaig jurar que, passés el que passés, ja no hauria de ser més un secret.	Locució (come what might). Temps verbal. Postedició poca.
108	It was you who told me first that the cottage was occupied.	- vas ser tu qui em va dir primer que la cabanya estava ocupada.	Vas ser tu qui em va dir primer que la cabanya estava ocupada.	Correcte.
109	I am going to force my way in and see for myself who is in the house.	- m'obligaré a entrar i a veure personalment qui hi ha a la casa.	Entraré per la força i veuré personalment qui hi ha a la casa.	Expressió (force the way in > forçar l’entrada). Postedició moderada.
110	She flies from him at last, returns to England, changes her name, and starts her life, as she thinks, afresh.	Finalment fuig d'ell, torna a Anglaterra, canvia de nom i comença la seva vida, com ella es pensa, de nou.	Finalment fuig d'ell, torna a Anglaterra, canvia de nom i comença la seva vida, com ella es pensa, de nou.	Correcte.
111	I should have waited for the morning, but I could not sleep for excitement, and so at last I slipped out, knowing how difficult it is to awake you.	Hauria d'haver esperat el matí, però no podia dormir per l'excitació, i per això, a la fi, em vaig escapolir, sabent com és de difícil despertar-te.	Hauria d'haver esperat el matí, però no podia dormir per l'excitació, i per això, a la fi, em vaig escapolir, sabent com és de difícil despertar-te.	Correcte.
112	Your very voice changes as you speak.	La teva veu canvia quan parles.	La teva veu canvia mentre parles.	Construcció temporal de simultaneïtat introduïda amb «as». Postedició mínima.
113	It was a very dark night, and a thin rain began to fall as we turned from the high road into a narrow lane, deeply rutted, with hedges on either side.	Era una nit molt fosca, i va començar a caure una pluja fina quan vam passar de la carretera alta a un camí estret, molt ple de sots, amb bardisses a banda i banda.	Era una nit molt fosca, i va començar a caure una pluja fina quan vam passar de la carretera a un camí estret, molt ple de sots, amb bardisses a banda i banda.	Lèxic (high road > ?carretera alta > autovia/carretera). Postedició mínima.
114	The man must value the pipe highly when he prefers to patch it up rather than buy a new one with the same money.	L'home ha de valorar molt la pipa quan prefereix apedaçar-la en lloc de comprar-ne una de nova amb els mateixos diners.	L'home ha de valorar molt la pipa quan prefereix apedaçar-la en lloc de comprar-ne una de nova amb els mateixos diners.	Correcte.
115	Now it has, you see, been twice mended, once in the wooden stem and once in the amber.	Ara ha estat sargit dues vegades, una a la tija de fusta i una altra a l'ambre.	Ara, com veieu, ha estat apedaçada dues vegades, una a la tija de fusta i una altra a l'ambre.	Omissió (you see). Lèxic (mend > *sargir > apedaçar). Postedició poca.
116	There's been a gentleman here asking for you, sir.	- aquí hi ha un senyor que demana per vostè, senyor.	Aquí hi ha hagut un senyor demanant per vós, senyor.	Temps verbal. Postedició mínima.
117	I'll tell you what I know about Effie's history.	- et diré el que sé de la història de l'Effie.	Us diré el que sé de la història de l'Effie.	Correcte.
118	I trust that we may do as much for you.	Confio que podem fer el mateix per tu.	Confio que puguem fer altre tant per vós.	Temps verbal. Postedició mínima.
119	You are at liberty to preserve your secret, but you must promise me that there shall be no more nightly visits, no more doings which are kept from my knowledge.	Esteu en llibertat per preservar el vostre secret, però m'heu de prometre que no hi haurà més visites nocturnes, ni més activitats que es guardin dels meus coneixements.	Tens la llibertat de preservar el teu secret, però m'has de prometre que no hi haurà més visites nocturnes, ni més coses que s’amaguin del meu coneixement.	Gramaticalment correcte i amb sentit. Estar/tenir. Phrasal verb (keep from > *guardar > amagar). Postedició mínima.
120	Have you ever seen a photograph of her first husband?	- ha vist mai una fotografia del seu primer marit?	Heu vist mai una fotografia del seu primer marit?	Correcte.
121	She was given to the care of a faithful Scotch woman who had once been our servant.	La van lliurar a la cura d'una fidel dona escocesa que havia estat la nostra serventa.	La van lliurar a la cura d'una fidel dona escocesa que havia estat la nostra serventa.	Correcte.
122	Her face was turned away as we entered, but we could see that she was dressed in a red frock, and that she had long white gloves on.	Quan vam entrar, tenia la cara girada, però vam veure que anava vestida amb un vestit vermell i que duia uns guants blancs llargs.	Quan vam entrar, tenia la cara girada, però vam veure que anava vestida amb un vestit vermell i que duia uns guants blancs llargs.	Correcte.
123	My wife had gone over there, and had asked the servant to call her if I should return.	La meva dona hi havia anat i havia demanat al criat que li truqués si tornava.	La meva dona havia anat cap allà, i havia demanat a la criada que l’avisés si jo tornava.	Correcte. Pèrdua d’informació de persona.
124	For two days after this I stayed at home, and my wife appeared to abide loyally by our engagement, for, as far as I know, she never stirred out of the house.	- durant dos dies, després d'això, em vaig quedar a casa, i la meva dona va semblar que obeïa lleialment el nostre compromís, perquè, que jo sàpiga, no va sortir mai de casa.	Durant dos dies, després d'això, em vaig quedar a casa, i la meva dona va semblar que obeïa lleialment el nostre compromís, perquè, que jo sàpiga, no va sortir mai de casa.	Correcte.
125	What do you think of my theory?	Què en penses, de la meva teoria?	Què en penses, de la meva teoria?	Correcte.
126	The fact is that I felt as though I were choking, and had a perfect longing for a breath of fresh air.	El fet és que em sentia com si m'estigués ennuegant i tingués un desig perfecte d'una alenada d'aire fresc.	El fet és que em sentia com si m'estigués ennuegant i tingués un desig perfecte d'una alenada d'aire fresc.	Correcte.
127	I tell you that there never was a shadow between us until this accursed affair began.	Et dic que mai no hi va haver una ombra entre nosaltres fins que va començar aquesta maleïda aventura.	Et dic que mai no hi va haver una ombra entre nosaltres fins que va començar aquesta maleïda aventura.	Correcte.
128	I don't know what there was about that face, Mr. Holmes, but it seemed to send a chill right down my back.	- no sé què hi havia en aquella cara, senyor Holmes, però em va semblar que em venia un calfred a l'esquena.	No sé què hi havia en aquella cara, senyor Holmes, però em va semblar que m’enviava un calfred esquena avall.	Gramaticalment correcte. Pèrdua d’informació de manera i direcció de moviment. Postedició mínima.
129	For three years I have kept her existence a secret from you, but I heard from the nurse, and I knew that all was well with her.	Durant tres anys he mantingut la seva existència en secret per part teva, però he tingut notícies de la infermera, i sabia que tot anava bé amb ella.	Durant tres anys t’he mantingut la seva existència en secret, però vaig tenir notícies de la infermera i sabia que tot anava bé amb ella.	Error en el CI. Temps verbal. Postedició moderada.
130	I think that she has gone out for a walk, she answered.	- crec que ha sortit a fer un volt - va respondre -.	Crec que ha sortit a fer un volt - va respondre.	Correcte. Pèrdua d’informació de persona.
131	I had to choose between you, and in my weakness I turned away from my own little girl.	Vaig haver de triar entre vosaltres, i en la meva feblesa em vaig apartar de la meva nena.	Vaig haver de triar entre vosaltres, i en la meva feblesa em vaig apartar de la meva nena.	Correcte.
132	As we went I glanced back, and there was that yellow livid face watching us out of the upper window.	Mentre caminàvem vaig mirar enrere, i hi havia aquella cara groga i lívida que ens mirava des de la finestra de dalt.	Mentre caminàvem vaig mirar enrere, i hi havia aquella cara groga i lívida que ens mirava des de la finestra de dalt.	Correcte.
133	Holmes glanced reproachfully at me.	Holmes em va mirar amb retret.	Holmes em va mirar amb retret.	Correcte.
134	If, on the other hand, as I fancy is more likely, the inmates were warned of your coming, and left before you entered yesterday, then they may be back now, and we should clear it all up easily.	Si, d'altra banda, com m'imagino que és més probable, els interns van ser avisats de la vostra arribada, i van marxar abans que hi entréssiu ahir, llavors potser tornaran ara, i ho hauríem d'aclarir tot fàcilment.	Si, d'altra banda, com m'imagino que és més probable, els inquilins van ser avisats de la vostra arribada, i van marxar abans que hi entréssiu ahir, llavors potser tornaran ara, i ho hauríem d'aclarir tot fàcilment.	Adaptació de lèxic (inmates). Postedició mínima.
135	What link could there be between that creature and my wife?	Quina relació hi podia haver entre aquella criatura i la meva dona?	Quina relació hi podia haver entre aquella criatura i la meva dona?	Correcte.
136	All the rest of the night I tossed and tumbled, framing theory after theory, each more unlikely than the last.	Tota la resta de la nit vaig començar a donar voltes i més voltes a la teoria, cada vegada més improbable que l'anterior.	Tota la resta de la nit vaig regirar-me i remoure’m, formulant teoria rere teoria, cada una més improbable que l'anterior.	Omissió (tossed and tumbled, framing). Expressió temporal afegida (cada vegada). Postedició elevada.
137	If you come home with me, all will be well.	Si véns a casa amb mi, tot anirà bé.	Si véns a casa amb mi, tot anirà bé.	Correcte.
138	We can do nothing more until we have a message from our friend at Norbury.	No podem fer res més fins que no tinguem un missatge del nostre amic a Norbury.	No podem fer res més fins que tinguem un missatge del nostre amic de Norbury.	Preposició (at > *a > de). Postedició mínima.
139	I could not see her face in the darkness, but her arms were thrown out in an attitude of entreaty.	No li podia veure la cara en la foscor, però tenia els braços oberts en una actitud de súplica.	No li podia veure la cara en la foscor, però llançà els braços en actitud de súplica.	Correcte. Pèrdua d’informació de manera de moviment (thrown). Postedició mínima.
140	Might I beg you, as time may prove to be of importance, to furnish me with the facts of your case without further delay?	Us puc suplicar, com pot ser que el temps tingui importància, que em proporcioni els fets del vostre cas sense més dilació?	Us puc suplicar que, com que el temps pot demostrar ser d'importància, em faciliteu els fets del vostre cas sense més dilació?	Subordinada introduïda amb «as». Error persona. Postedició poca.
141	We have not had a difference, not one, in thought or word or deed.	No hem tingut cap diferència, ni una, en el pensament, ni en la paraula ni en l'escriptura.	No hem tingut cap diferència, ni una, en el pensament, ni en la paraula ni en l'obra.	Lèxic (deed). Postedició mínima.
142	I can see that you have not slept for a night or two,” said Holmes, in his easy, genial way.	- veig que no heu dormit durant una o dues nits - va dir Holmes, amb la seva manera fàcil i cordial -.	Veig que no heu dormit durant una o dues nits - va dir Holmes, amb la seva manera fàcil i cordial.	Correcte.
143	There's one thing I ought to tell you before I go further.	- hi ha una cosa que t'hauria de dir abans de continuar.	Hi ha una cosa que t'hauria de dir abans de continuar.	Correcte.
144	It was evident to me that she was saying what was false.	Era evident que deia el que era fals.	Per mi era evident que deia una falsedat.	Pèrdua d’informació (to me). Postedició mínima.
145	I pushed my precautions so far as to order her to keep the child in the house during the daytime, and to cover up her little face and hands so that even those who might see her at the window should not gossip about there being a black child in the neighborhood.	Vaig prendre les meves precaucions fins al punt d'ordenar-li que es quedés a casa durant el dia, i que li tapés la carona i les mans perquè ni tan sols els que la poguessin veure a la finestra no parlessin d'un nen negre del veïnat.	Vaig prendre les meves precaucions fins al punt d'ordenar-li que mantingués la nena a casa durant el dia, i que li tapés la carona i les mans perquè ni tan sols els que la poguessin veure a la finestra no parlessin d'un nen negre del veïnat.	Gramaticalment correcte i amb sentit, però amb canvi semàntic i pèrdua d’informació («pushed my precautions», aspecte de possibilitat a «should not gossip». Lèxic (gossip > *parlar > xafardejar). Postedició elevada.
146	“You wish to employ me as a consulting detective?”	- em vol contractar com a inspector de consultoria?	Voleu contractar-me com a detectiu privat?	Lèxic (detectiu privat). Postedició mínima.
147	But as I did so the face suddenly disappeared, so suddenly that it seemed to have been plucked away into the darkness of the room.	Però en fer-ho la cara va desaparèixer de sobte, tan de sobte que semblava que l'haguessin arrencat en la foscor de l'habitació.	Però en fer-ho la cara va desaparèixer de sobte, tan de sobte que semblava que l'haguessin arrencat en la foscor de l'habitació.	Gramaticalment correcte i amb sentit. Pèrdua d’informació de direcció del moviment. Postedició poca.
148	I shall be very much surprised, however, if it is still so when he reconnoitres it this evening.	Em sorprendrà molt, però, si encara és així quan ho reconnoitres aquest vespre.	Em sorprendrà molt, però, si encara és així quan ell el reconegui aquest vespre.	Lèxic no traduït (reconnoitres). Postedició Mínima.
149	I saw my wife and the maid hurrying back along the lane, but I did not stop to speak with them.	Vaig veure la meva dona i la minyona corrent pel camí, però no em vaig aturar a parlar amb ells.	Vaig veure la meva dona i la minyona tornar corrents pel camí, però no em vaig aturar a parlar amb elles.	Error de gènere. Pèrdua d’informació de direcció del moviment. Postedició poca.
150	Well, it must be the creature who lives in the only comfortable room in the place, and has her photograph above his fireplace.	- bé, deu ser la criatura que viu a l'única habitació confortable del local, i té la seva fotografia sobre la llar de foc.	Bé, deu ser la criatura que viu a l'única habitació confortable del local, i té la seva fotografia sobre la llar de foc.	Correcte.
151	All evening, though I tried to think of other things, my mind would still turn to the apparition at the window and the rudeness of the woman.	Tota la nit, tot i que intentava pensar en altres coses, la meva ment encara es desviava cap a l'aparició a la finestra i la grolleria de la dona.	Tota la nit, tot i que intentava pensar en altres coses, la meva ment encara es desviava cap a l'aparició a la finestra i la grolleria de la dona.	Correcte.
152	It seems dreadful to discuss the conduct of one's wife with two men whom I have never seen before.	Em sembla espantós parlar de la conducta de la dona amb dos homes que no havia vist mai.	Em sembla espantós parlar de la conducta de la dona amb dos homes que no havia vist mai.	Correcte.
