system2rank,segmentId,system1Id,system2Number,system1Number,trglang,system1rank,srcIndex,judgeID,srclang,system2Id,documentId
2,1,rowling.appraise_t1,-1,-1,-1,1,1,evaluator2,-1,rowling.appraise_t2,-1
1,1,rowling.appraise_t1,-1,-1,-1,1,1,evaluator2,-1,rowling.appraise_t3,-1
1,1,rowling.appraise_t2,-1,-1,-1,2,1,evaluator2,-1,rowling.appraise_t3,-1
1,2,rowling.appraise_t2,-1,-1,-1,2,2,evaluator2,-1,rowling.appraise_t3,-1
2,2,rowling.appraise_t1,-1,-1,-1,1,2,evaluator1,-1,rowling.appraise_t2,-1
2,2,rowling.appraise_t1,-1,-1,-1,1,2,evaluator1,-1,rowling.appraise_t3,-1
2,2,rowling.appraise_t2,-1,-1,-1,2,2,evaluator1,-1,rowling.appraise_t3,-1
2,3,rowling.appraise_t1,-1,-1,-1,1,3,evaluator2,-1,rowling.appraise_t2,-1
2,3,rowling.appraise_t1,-1,-1,-1,1,3,evaluator2,-1,rowling.appraise_t3,-1
2,3,rowling.appraise_t2,-1,-1,-1,2,3,evaluator2,-1,rowling.appraise_t3,-1
3,3,rowling.appraise_t1,-1,-1,-1,1,3,evaluator1,-1,rowling.appraise_t2,-1
2,3,rowling.appraise_t1,-1,-1,-1,1,3,evaluator1,-1,rowling.appraise_t3,-1
2,3,rowling.appraise_t2,-1,-1,-1,3,3,evaluator1,-1,rowling.appraise_t3,-1
3,4,rowling.appraise_t1,-1,-1,-1,1,4,evaluator2,-1,rowling.appraise_t2,-1
2,4,rowling.appraise_t1,-1,-1,-1,1,4,evaluator2,-1,rowling.appraise_t3,-1
2,4,rowling.appraise_t2,-1,-1,-1,3,4,evaluator2,-1,rowling.appraise_t3,-1
2,4,rowling.appraise_t1,-1,-1,-1,2,4,evaluator1,-1,rowling.appraise_t3,-1
2,4,rowling.appraise_t2,-1,-1,-1,1,4,evaluator1,-1,rowling.appraise_t3,-1
2,5,rowling.appraise_t1,-1,-1,-1,1,5,evaluator2,-1,rowling.appraise_t2,-1
2,5,rowling.appraise_t1,-1,-1,-1,1,5,evaluator2,-1,rowling.appraise_t3,-1
2,5,rowling.appraise_t2,-1,-1,-1,2,5,evaluator2,-1,rowling.appraise_t3,-1
2,5,rowling.appraise_t1,-1,-1,-1,2,5,evaluator1,-1,rowling.appraise_t3,-1
2,5,rowling.appraise_t2,-1,-1,-1,1,5,evaluator1,-1,rowling.appraise_t3,-1
3,6,rowling.appraise_t1,-1,-1,-1,1,6,evaluator2,-1,rowling.appraise_t2,-1
2,6,rowling.appraise_t1,-1,-1,-1,1,6,evaluator2,-1,rowling.appraise_t3,-1
2,6,rowling.appraise_t2,-1,-1,-1,3,6,evaluator2,-1,rowling.appraise_t3,-1
3,6,rowling.appraise_t1,-1,-1,-1,2,6,evaluator1,-1,rowling.appraise_t2,-1
1,6,rowling.appraise_t2,-1,-1,-1,3,6,evaluator1,-1,rowling.appraise_t3,-1
3,7,rowling.appraise_t1,-1,-1,-1,1,7,evaluator2,-1,rowling.appraise_t2,-1
2,7,rowling.appraise_t1,-1,-1,-1,1,7,evaluator2,-1,rowling.appraise_t3,-1
2,7,rowling.appraise_t2,-1,-1,-1,3,7,evaluator2,-1,rowling.appraise_t3,-1
3,7,rowling.appraise_t1,-1,-1,-1,1,7,evaluator1,-1,rowling.appraise_t2,-1
2,7,rowling.appraise_t1,-1,-1,-1,1,7,evaluator1,-1,rowling.appraise_t3,-1
2,7,rowling.appraise_t2,-1,-1,-1,3,7,evaluator1,-1,rowling.appraise_t3,-1
2,8,rowling.appraise_t1,-1,-1,-1,1,8,evaluator2,-1,rowling.appraise_t2,-1
3,8,rowling.appraise_t1,-1,-1,-1,1,8,evaluator2,-1,rowling.appraise_t3,-1
3,8,rowling.appraise_t2,-1,-1,-1,2,8,evaluator2,-1,rowling.appraise_t3,-1
2,8,rowling.appraise_t1,-1,-1,-1,1,8,evaluator1,-1,rowling.appraise_t2,-1
2,8,rowling.appraise_t1,-1,-1,-1,1,8,evaluator1,-1,rowling.appraise_t3,-1
2,8,rowling.appraise_t2,-1,-1,-1,2,8,evaluator1,-1,rowling.appraise_t3,-1
3,9,rowling.appraise_t1,-1,-1,-1,2,9,evaluator2,-1,rowling.appraise_t2,-1
1,9,rowling.appraise_t2,-1,-1,-1,3,9,evaluator2,-1,rowling.appraise_t3,-1
3,9,rowling.appraise_t1,-1,-1,-1,1,9,evaluator1,-1,rowling.appraise_t2,-1
2,9,rowling.appraise_t1,-1,-1,-1,1,9,evaluator1,-1,rowling.appraise_t3,-1
2,9,rowling.appraise_t2,-1,-1,-1,3,9,evaluator1,-1,rowling.appraise_t3,-1
2,10,rowling.appraise_t1,-1,-1,-1,1,10,evaluator2,-1,rowling.appraise_t2,-1
2,10,rowling.appraise_t1,-1,-1,-1,1,10,evaluator2,-1,rowling.appraise_t3,-1
2,10,rowling.appraise_t2,-1,-1,-1,2,10,evaluator2,-1,rowling.appraise_t3,-1
2,10,rowling.appraise_t1,-1,-1,-1,1,10,evaluator1,-1,rowling.appraise_t2,-1
2,10,rowling.appraise_t1,-1,-1,-1,1,10,evaluator1,-1,rowling.appraise_t3,-1
2,10,rowling.appraise_t2,-1,-1,-1,2,10,evaluator1,-1,rowling.appraise_t3,-1
1,11,rowling.appraise_t2,-1,-1,-1,1,11,evaluator2,-1,rowling.appraise_t3,-1
1,11,rowling.appraise_t2,-1,-1,-1,1,11,evaluator1,-1,rowling.appraise_t3,-1
3,12,rowling.appraise_t1,-1,-1,-1,2,12,evaluator2,-1,rowling.appraise_t3,-1
3,12,rowling.appraise_t2,-1,-1,-1,1,12,evaluator2,-1,rowling.appraise_t3,-1
2,12,rowling.appraise_t1,-1,-1,-1,1,12,evaluator1,-1,rowling.appraise_t2,-1
2,12,rowling.appraise_t1,-1,-1,-1,1,12,evaluator1,-1,rowling.appraise_t3,-1
2,12,rowling.appraise_t2,-1,-1,-1,2,12,evaluator1,-1,rowling.appraise_t3,-1
1,13,rowling.appraise_t2,-1,-1,-1,2,13,evaluator2,-1,rowling.appraise_t3,-1
2,13,rowling.appraise_t1,-1,-1,-1,1,13,evaluator1,-1,rowling.appraise_t2,-1
2,13,rowling.appraise_t1,-1,-1,-1,1,13,evaluator1,-1,rowling.appraise_t3,-1
2,13,rowling.appraise_t2,-1,-1,-1,2,13,evaluator1,-1,rowling.appraise_t3,-1
3,14,rowling.appraise_t1,-1,-1,-1,2,14,evaluator2,-1,rowling.appraise_t3,-1
3,14,rowling.appraise_t2,-1,-1,-1,1,14,evaluator2,-1,rowling.appraise_t3,-1
3,14,rowling.appraise_t1,-1,-1,-1,1,14,evaluator1,-1,rowling.appraise_t2,-1
2,14,rowling.appraise_t1,-1,-1,-1,1,14,evaluator1,-1,rowling.appraise_t3,-1
2,14,rowling.appraise_t2,-1,-1,-1,3,14,evaluator1,-1,rowling.appraise_t3,-1
2,15,rowling.appraise_t1,-1,-1,-1,1,15,evaluator2,-1,rowling.appraise_t2,-1
2,15,rowling.appraise_t1,-1,-1,-1,1,15,evaluator2,-1,rowling.appraise_t3,-1
2,15,rowling.appraise_t2,-1,-1,-1,2,15,evaluator2,-1,rowling.appraise_t3,-1
2,15,rowling.appraise_t1,-1,-1,-1,1,15,evaluator1,-1,rowling.appraise_t2,-1
2,15,rowling.appraise_t1,-1,-1,-1,1,15,evaluator1,-1,rowling.appraise_t3,-1
2,15,rowling.appraise_t2,-1,-1,-1,2,15,evaluator1,-1,rowling.appraise_t3,-1
2,16,rowling.appraise_t2,-1,-1,-1,1,16,evaluator2,-1,rowling.appraise_t3,-1
2,16,rowling.appraise_t1,-1,-1,-1,1,16,evaluator1,-1,rowling.appraise_t2,-1
2,16,rowling.appraise_t1,-1,-1,-1,1,16,evaluator1,-1,rowling.appraise_t3,-1
2,16,rowling.appraise_t2,-1,-1,-1,2,16,evaluator1,-1,rowling.appraise_t3,-1
2,17,rowling.appraise_t1,-1,-1,-1,1,17,evaluator2,-1,rowling.appraise_t2,-1
1,17,rowling.appraise_t1,-1,-1,-1,1,17,evaluator2,-1,rowling.appraise_t3,-1
1,17,rowling.appraise_t2,-1,-1,-1,2,17,evaluator2,-1,rowling.appraise_t3,-1
2,17,rowling.appraise_t1,-1,-1,-1,1,17,evaluator1,-1,rowling.appraise_t2,-1
1,17,rowling.appraise_t1,-1,-1,-1,1,17,evaluator1,-1,rowling.appraise_t3,-1
1,17,rowling.appraise_t2,-1,-1,-1,2,17,evaluator1,-1,rowling.appraise_t3,-1
2,18,rowling.appraise_t1,-1,-1,-1,1,18,evaluator2,-1,rowling.appraise_t2,-1
1,18,rowling.appraise_t1,-1,-1,-1,1,18,evaluator2,-1,rowling.appraise_t3,-1
1,18,rowling.appraise_t2,-1,-1,-1,2,18,evaluator2,-1,rowling.appraise_t3,-1
2,18,rowling.appraise_t1,-1,-1,-1,2,18,evaluator1,-1,rowling.appraise_t2,-1
1,18,rowling.appraise_t2,-1,-1,-1,2,18,evaluator1,-1,rowling.appraise_t3,-1
3,19,rowling.appraise_t1,-1,-1,-1,1,19,evaluator2,-1,rowling.appraise_t2,-1
2,19,rowling.appraise_t1,-1,-1,-1,1,19,evaluator2,-1,rowling.appraise_t3,-1
2,19,rowling.appraise_t2,-1,-1,-1,3,19,evaluator2,-1,rowling.appraise_t3,-1
3,19,rowling.appraise_t1,-1,-1,-1,1,19,evaluator1,-1,rowling.appraise_t2,-1
2,19,rowling.appraise_t1,-1,-1,-1,1,19,evaluator1,-1,rowling.appraise_t3,-1
2,19,rowling.appraise_t2,-1,-1,-1,3,19,evaluator1,-1,rowling.appraise_t3,-1
1,20,rowling.appraise_t2,-1,-1,-1,1,20,evaluator1,-1,rowling.appraise_t3,-1
2,21,rowling.appraise_t1,-1,-1,-1,2,21,evaluator1,-1,rowling.appraise_t3,-1
2,21,rowling.appraise_t2,-1,-1,-1,1,21,evaluator1,-1,rowling.appraise_t3,-1
1,22,rowling.appraise_t1,-1,-1,-1,1,22,evaluator2,-1,rowling.appraise_t2,-1
1,22,rowling.appraise_t1,-1,-1,-1,1,22,evaluator2,-1,rowling.appraise_t3,-1
1,22,rowling.appraise_t2,-1,-1,-1,1,22,evaluator2,-1,rowling.appraise_t3,-1
2,22,rowling.appraise_t1,-1,-1,-1,1,22,evaluator1,-1,rowling.appraise_t2,-1
2,22,rowling.appraise_t1,-1,-1,-1,1,22,evaluator1,-1,rowling.appraise_t3,-1
2,22,rowling.appraise_t2,-1,-1,-1,2,22,evaluator1,-1,rowling.appraise_t3,-1
3,23,rowling.appraise_t1,-1,-1,-1,1,23,evaluator2,-1,rowling.appraise_t2,-1
2,23,rowling.appraise_t1,-1,-1,-1,1,23,evaluator2,-1,rowling.appraise_t3,-1
2,23,rowling.appraise_t2,-1,-1,-1,3,23,evaluator2,-1,rowling.appraise_t3,-1
1,23,rowling.appraise_t2,-1,-1,-1,2,23,evaluator1,-1,rowling.appraise_t3,-1
3,24,rowling.appraise_t1,-1,-1,-1,1,24,evaluator2,-1,rowling.appraise_t2,-1
2,24,rowling.appraise_t1,-1,-1,-1,1,24,evaluator2,-1,rowling.appraise_t3,-1
2,24,rowling.appraise_t2,-1,-1,-1,3,24,evaluator2,-1,rowling.appraise_t3,-1
3,24,rowling.appraise_t1,-1,-1,-1,1,24,evaluator1,-1,rowling.appraise_t2,-1
2,24,rowling.appraise_t1,-1,-1,-1,1,24,evaluator1,-1,rowling.appraise_t3,-1
2,24,rowling.appraise_t2,-1,-1,-1,3,24,evaluator1,-1,rowling.appraise_t3,-1
2,25,rowling.appraise_t1,-1,-1,-1,1,25,evaluator2,-1,rowling.appraise_t2,-1
2,25,rowling.appraise_t1,-1,-1,-1,1,25,evaluator2,-1,rowling.appraise_t3,-1
2,25,rowling.appraise_t2,-1,-1,-1,2,25,evaluator2,-1,rowling.appraise_t3,-1
1,25,rowling.appraise_t2,-1,-1,-1,1,25,evaluator1,-1,rowling.appraise_t3,-1
2,26,rowling.appraise_t1,-1,-1,-1,1,26,evaluator2,-1,rowling.appraise_t2,-1
3,26,rowling.appraise_t1,-1,-1,-1,1,26,evaluator2,-1,rowling.appraise_t3,-1
3,26,rowling.appraise_t2,-1,-1,-1,2,26,evaluator2,-1,rowling.appraise_t3,-1
2,26,rowling.appraise_t1,-1,-1,-1,1,26,evaluator1,-1,rowling.appraise_t2,-1
3,26,rowling.appraise_t1,-1,-1,-1,1,26,evaluator1,-1,rowling.appraise_t3,-1
3,26,rowling.appraise_t2,-1,-1,-1,2,26,evaluator1,-1,rowling.appraise_t3,-1
1,27,rowling.appraise_t1,-1,-1,-1,1,27,evaluator2,-1,rowling.appraise_t2,-1
1,27,rowling.appraise_t1,-1,-1,-1,1,27,evaluator2,-1,rowling.appraise_t3,-1
1,27,rowling.appraise_t2,-1,-1,-1,1,27,evaluator2,-1,rowling.appraise_t3,-1
1,27,rowling.appraise_t1,-1,-1,-1,1,27,evaluator1,-1,rowling.appraise_t2,-1
1,27,rowling.appraise_t1,-1,-1,-1,1,27,evaluator1,-1,rowling.appraise_t3,-1
1,27,rowling.appraise_t2,-1,-1,-1,1,27,evaluator1,-1,rowling.appraise_t3,-1
3,28,rowling.appraise_t1,-1,-1,-1,1,28,evaluator2,-1,rowling.appraise_t2,-1
2,28,rowling.appraise_t1,-1,-1,-1,1,28,evaluator2,-1,rowling.appraise_t3,-1
2,28,rowling.appraise_t2,-1,-1,-1,3,28,evaluator2,-1,rowling.appraise_t3,-1
3,28,rowling.appraise_t1,-1,-1,-1,2,28,evaluator1,-1,rowling.appraise_t2,-1
1,28,rowling.appraise_t2,-1,-1,-1,3,28,evaluator1,-1,rowling.appraise_t3,-1
3,29,rowling.appraise_t1,-1,-1,-1,2,29,evaluator2,-1,rowling.appraise_t2,-1
1,29,rowling.appraise_t2,-1,-1,-1,3,29,evaluator2,-1,rowling.appraise_t3,-1
2,29,rowling.appraise_t1,-1,-1,-1,1,29,evaluator1,-1,rowling.appraise_t2,-1
2,29,rowling.appraise_t1,-1,-1,-1,1,29,evaluator1,-1,rowling.appraise_t3,-1
2,29,rowling.appraise_t2,-1,-1,-1,2,29,evaluator1,-1,rowling.appraise_t3,-1
1,31,rowling.appraise_t2,-1,-1,-1,2,31,evaluator2,-1,rowling.appraise_t3,-1
1,31,rowling.appraise_t2,-1,-1,-1,2,31,evaluator1,-1,rowling.appraise_t3,-1
3,32,rowling.appraise_t1,-1,-1,-1,1,32,evaluator2,-1,rowling.appraise_t2,-1
2,32,rowling.appraise_t1,-1,-1,-1,1,32,evaluator2,-1,rowling.appraise_t3,-1
2,32,rowling.appraise_t2,-1,-1,-1,3,32,evaluator2,-1,rowling.appraise_t3,-1
2,32,rowling.appraise_t1,-1,-1,-1,1,32,evaluator1,-1,rowling.appraise_t2,-1
1,32,rowling.appraise_t1,-1,-1,-1,1,32,evaluator1,-1,rowling.appraise_t3,-1
1,32,rowling.appraise_t2,-1,-1,-1,2,32,evaluator1,-1,rowling.appraise_t3,-1
2,33,rowling.appraise_t1,-1,-1,-1,1,33,evaluator2,-1,rowling.appraise_t2,-1
3,33,rowling.appraise_t1,-1,-1,-1,1,33,evaluator2,-1,rowling.appraise_t3,-1
3,33,rowling.appraise_t2,-1,-1,-1,2,33,evaluator2,-1,rowling.appraise_t3,-1
2,33,rowling.appraise_t1,-1,-1,-1,1,33,evaluator1,-1,rowling.appraise_t2,-1
2,33,rowling.appraise_t1,-1,-1,-1,1,33,evaluator1,-1,rowling.appraise_t3,-1
2,33,rowling.appraise_t2,-1,-1,-1,2,33,evaluator1,-1,rowling.appraise_t3,-1
3,34,rowling.appraise_t1,-1,-1,-1,1,34,evaluator2,-1,rowling.appraise_t2,-1
2,34,rowling.appraise_t1,-1,-1,-1,1,34,evaluator2,-1,rowling.appraise_t3,-1
2,34,rowling.appraise_t2,-1,-1,-1,3,34,evaluator2,-1,rowling.appraise_t3,-1
2,34,rowling.appraise_t1,-1,-1,-1,1,34,evaluator1,-1,rowling.appraise_t2,-1
2,34,rowling.appraise_t1,-1,-1,-1,1,34,evaluator1,-1,rowling.appraise_t3,-1
2,34,rowling.appraise_t2,-1,-1,-1,2,34,evaluator1,-1,rowling.appraise_t3,-1
3,35,rowling.appraise_t1,-1,-1,-1,1,35,evaluator2,-1,rowling.appraise_t2,-1
2,35,rowling.appraise_t1,-1,-1,-1,1,35,evaluator2,-1,rowling.appraise_t3,-1
2,35,rowling.appraise_t2,-1,-1,-1,3,35,evaluator2,-1,rowling.appraise_t3,-1
3,35,rowling.appraise_t1,-1,-1,-1,2,35,evaluator1,-1,rowling.appraise_t3,-1
3,35,rowling.appraise_t2,-1,-1,-1,1,35,evaluator1,-1,rowling.appraise_t3,-1
3,36,rowling.appraise_t1,-1,-1,-1,2,36,evaluator2,-1,rowling.appraise_t2,-1
1,36,rowling.appraise_t2,-1,-1,-1,3,36,evaluator2,-1,rowling.appraise_t3,-1
2,36,rowling.appraise_t1,-1,-1,-1,1,36,evaluator1,-1,rowling.appraise_t2,-1
1,36,rowling.appraise_t1,-1,-1,-1,1,36,evaluator1,-1,rowling.appraise_t3,-1
1,36,rowling.appraise_t2,-1,-1,-1,2,36,evaluator1,-1,rowling.appraise_t3,-1
2,37,rowling.appraise_t1,-1,-1,-1,2,37,evaluator2,-1,rowling.appraise_t2,-1
1,37,rowling.appraise_t2,-1,-1,-1,2,37,evaluator2,-1,rowling.appraise_t3,-1
2,37,rowling.appraise_t1,-1,-1,-1,1,37,evaluator1,-1,rowling.appraise_t2,-1
2,37,rowling.appraise_t1,-1,-1,-1,1,37,evaluator1,-1,rowling.appraise_t3,-1
2,37,rowling.appraise_t2,-1,-1,-1,2,37,evaluator1,-1,rowling.appraise_t3,-1
1,38,rowling.appraise_t1,-1,-1,-1,1,38,evaluator2,-1,rowling.appraise_t2,-1
2,38,rowling.appraise_t1,-1,-1,-1,1,38,evaluator2,-1,rowling.appraise_t3,-1
2,38,rowling.appraise_t2,-1,-1,-1,1,38,evaluator2,-1,rowling.appraise_t3,-1
1,38,rowling.appraise_t1,-1,-1,-1,1,38,evaluator1,-1,rowling.appraise_t2,-1
2,38,rowling.appraise_t1,-1,-1,-1,1,38,evaluator1,-1,rowling.appraise_t3,-1
2,38,rowling.appraise_t2,-1,-1,-1,1,38,evaluator1,-1,rowling.appraise_t3,-1
3,39,rowling.appraise_t1,-1,-1,-1,1,39,evaluator2,-1,rowling.appraise_t2,-1
2,39,rowling.appraise_t1,-1,-1,-1,1,39,evaluator2,-1,rowling.appraise_t3,-1
2,39,rowling.appraise_t2,-1,-1,-1,3,39,evaluator2,-1,rowling.appraise_t3,-1
3,39,rowling.appraise_t1,-1,-1,-1,2,39,evaluator1,-1,rowling.appraise_t2,-1
1,39,rowling.appraise_t2,-1,-1,-1,3,39,evaluator1,-1,rowling.appraise_t3,-1
3,40,rowling.appraise_t1,-1,-1,-1,2,40,evaluator2,-1,rowling.appraise_t2,-1
1,40,rowling.appraise_t2,-1,-1,-1,3,40,evaluator2,-1,rowling.appraise_t3,-1
2,40,rowling.appraise_t1,-1,-1,-1,1,40,evaluator1,-1,rowling.appraise_t2,-1
1,40,rowling.appraise_t1,-1,-1,-1,1,40,evaluator1,-1,rowling.appraise_t3,-1
1,40,rowling.appraise_t2,-1,-1,-1,2,40,evaluator1,-1,rowling.appraise_t3,-1
3,41,rowling.appraise_t1,-1,-1,-1,2,41,evaluator2,-1,rowling.appraise_t3,-1
3,41,rowling.appraise_t2,-1,-1,-1,1,41,evaluator2,-1,rowling.appraise_t3,-1
2,41,rowling.appraise_t1,-1,-1,-1,1,41,evaluator1,-1,rowling.appraise_t2,-1
2,41,rowling.appraise_t1,-1,-1,-1,1,41,evaluator1,-1,rowling.appraise_t3,-1
2,41,rowling.appraise_t2,-1,-1,-1,2,41,evaluator1,-1,rowling.appraise_t3,-1
3,42,rowling.appraise_t1,-1,-1,-1,1,42,evaluator2,-1,rowling.appraise_t2,-1
2,42,rowling.appraise_t1,-1,-1,-1,1,42,evaluator2,-1,rowling.appraise_t3,-1
2,42,rowling.appraise_t2,-1,-1,-1,3,42,evaluator2,-1,rowling.appraise_t3,-1
3,42,rowling.appraise_t1,-1,-1,-1,2,42,evaluator1,-1,rowling.appraise_t2,-1
1,42,rowling.appraise_t2,-1,-1,-1,3,42,evaluator1,-1,rowling.appraise_t3,-1
2,43,rowling.appraise_t1,-1,-1,-1,1,43,evaluator2,-1,rowling.appraise_t2,-1
1,43,rowling.appraise_t1,-1,-1,-1,1,43,evaluator2,-1,rowling.appraise_t3,-1
1,43,rowling.appraise_t2,-1,-1,-1,2,43,evaluator2,-1,rowling.appraise_t3,-1
2,43,rowling.appraise_t1,-1,-1,-1,1,43,evaluator1,-1,rowling.appraise_t2,-1
1,43,rowling.appraise_t1,-1,-1,-1,1,43,evaluator1,-1,rowling.appraise_t3,-1
1,43,rowling.appraise_t2,-1,-1,-1,2,43,evaluator1,-1,rowling.appraise_t3,-1
1,44,rowling.appraise_t2,-1,-1,-1,2,44,evaluator2,-1,rowling.appraise_t3,-1
1,44,rowling.appraise_t2,-1,-1,-1,2,44,evaluator1,-1,rowling.appraise_t3,-1
2,45,rowling.appraise_t1,-1,-1,-1,1,45,evaluator2,-1,rowling.appraise_t2,-1
2,45,rowling.appraise_t1,-1,-1,-1,1,45,evaluator2,-1,rowling.appraise_t3,-1
2,45,rowling.appraise_t2,-1,-1,-1,2,45,evaluator2,-1,rowling.appraise_t3,-1
2,45,rowling.appraise_t1,-1,-1,-1,1,45,evaluator1,-1,rowling.appraise_t2,-1
2,45,rowling.appraise_t1,-1,-1,-1,1,45,evaluator1,-1,rowling.appraise_t3,-1
2,45,rowling.appraise_t2,-1,-1,-1,2,45,evaluator1,-1,rowling.appraise_t3,-1
3,46,rowling.appraise_t1,-1,-1,-1,2,46,evaluator2,-1,rowling.appraise_t2,-1
1,46,rowling.appraise_t2,-1,-1,-1,3,46,evaluator2,-1,rowling.appraise_t3,-1
2,46,rowling.appraise_t1,-1,-1,-1,1,46,evaluator1,-1,rowling.appraise_t2,-1
1,46,rowling.appraise_t1,-1,-1,-1,1,46,evaluator1,-1,rowling.appraise_t3,-1
1,46,rowling.appraise_t2,-1,-1,-1,2,46,evaluator1,-1,rowling.appraise_t3,-1
1,47,rowling.appraise_t1,-1,-1,-1,1,47,evaluator2,-1,rowling.appraise_t2,-1
1,47,rowling.appraise_t1,-1,-1,-1,1,47,evaluator2,-1,rowling.appraise_t3,-1
1,47,rowling.appraise_t2,-1,-1,-1,1,47,evaluator2,-1,rowling.appraise_t3,-1
1,47,rowling.appraise_t1,-1,-1,-1,1,47,evaluator1,-1,rowling.appraise_t2,-1
1,47,rowling.appraise_t1,-1,-1,-1,1,47,evaluator1,-1,rowling.appraise_t3,-1
1,47,rowling.appraise_t2,-1,-1,-1,1,47,evaluator1,-1,rowling.appraise_t3,-1
2,48,rowling.appraise_t1,-1,-1,-1,1,48,evaluator2,-1,rowling.appraise_t2,-1
2,48,rowling.appraise_t1,-1,-1,-1,1,48,evaluator2,-1,rowling.appraise_t3,-1
2,48,rowling.appraise_t2,-1,-1,-1,2,48,evaluator2,-1,rowling.appraise_t3,-1
1,48,rowling.appraise_t2,-1,-1,-1,2,48,evaluator1,-1,rowling.appraise_t3,-1
1,49,rowling.appraise_t1,-1,-1,-1,1,49,evaluator2,-1,rowling.appraise_t2,-1
1,49,rowling.appraise_t1,-1,-1,-1,1,49,evaluator2,-1,rowling.appraise_t3,-1
1,49,rowling.appraise_t2,-1,-1,-1,1,49,evaluator2,-1,rowling.appraise_t3,-1
2,49,rowling.appraise_t1,-1,-1,-1,1,49,evaluator1,-1,rowling.appraise_t2,-1
2,49,rowling.appraise_t1,-1,-1,-1,1,49,evaluator1,-1,rowling.appraise_t3,-1
2,49,rowling.appraise_t2,-1,-1,-1,2,49,evaluator1,-1,rowling.appraise_t3,-1
2,50,rowling.appraise_t1,-1,-1,-1,1,50,evaluator2,-1,rowling.appraise_t2,-1
3,50,rowling.appraise_t1,-1,-1,-1,1,50,evaluator2,-1,rowling.appraise_t3,-1
3,50,rowling.appraise_t2,-1,-1,-1,2,50,evaluator2,-1,rowling.appraise_t3,-1
2,50,rowling.appraise_t1,-1,-1,-1,1,50,evaluator1,-1,rowling.appraise_t2,-1
3,50,rowling.appraise_t1,-1,-1,-1,1,50,evaluator1,-1,rowling.appraise_t3,-1
3,50,rowling.appraise_t2,-1,-1,-1,2,50,evaluator1,-1,rowling.appraise_t3,-1
3,51,rowling.appraise_t1,-1,-1,-1,2,51,evaluator2,-1,rowling.appraise_t2,-1
1,51,rowling.appraise_t2,-1,-1,-1,3,51,evaluator2,-1,rowling.appraise_t3,-1
1,52,rowling.appraise_t2,-1,-1,-1,2,52,evaluator1,-1,rowling.appraise_t3,-1
3,52,rowling.appraise_t1,-1,-1,-1,1,52,evaluator2,-1,rowling.appraise_t2,-1
2,52,rowling.appraise_t1,-1,-1,-1,1,52,evaluator2,-1,rowling.appraise_t3,-1
2,52,rowling.appraise_t2,-1,-1,-1,3,52,evaluator2,-1,rowling.appraise_t3,-1
2,53,rowling.appraise_t1,-1,-1,-1,2,53,evaluator1,-1,rowling.appraise_t3,-1
2,53,rowling.appraise_t2,-1,-1,-1,1,53,evaluator1,-1,rowling.appraise_t3,-1
2,53,rowling.appraise_t1,-1,-1,-1,1,53,evaluator2,-1,rowling.appraise_t2,-1
3,53,rowling.appraise_t1,-1,-1,-1,1,53,evaluator2,-1,rowling.appraise_t3,-1
3,53,rowling.appraise_t2,-1,-1,-1,2,53,evaluator2,-1,rowling.appraise_t3,-1
2,54,rowling.appraise_t1,-1,-1,-1,1,54,evaluator1,-1,rowling.appraise_t2,-1
